 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,        insertion,    random,      1000,            10,    0.010195,  0.000998,  0.001041,  0.001020,          980872.976949
SUCCESS,        insertion,    random,      2000,            10,    0.040354,  0.003959,  0.004072,  0.004035,          495613.817713
SUCCESS,        insertion,    random,      4000,            10,    0.161762,  0.015812,  0.016362,  0.016176,          247276.863540
SUCCESS,        insertion,    random,      8000,            10,    0.649065,  0.063956,  0.065650,  0.064907,          123254.219531
SUCCESS,        insertion,    random,     16000,            10,    2.584174,  0.255655,  0.261259,  0.258417,           61915.335422
SUCCESS,        insertion,    random,     32000,            10,   10.324992,  1.025145,  1.038562,  1.032499,           30992.760091
SUCCESS,        insertion,    random,     64000,            10,   41.339663,  4.116210,  4.155867,  4.133966,           15481.500176
SUCCESS,        insertion,    sorted,      1000,            10,    0.000008,  0.000000,  0.000001,  0.000001,      1250000000.000000
SUCCESS,        insertion,    sorted,      2000,            10,    0.000017,  0.000001,  0.000004,  0.000002,      1176470588.235294
SUCCESS,        insertion,    sorted,      4000,            10,    0.000030,  0.000003,  0.000003,  0.000003,      1333333333.333333
SUCCESS,        insertion,    sorted,      8000,            10,    0.000058,  0.000005,  0.000006,  0.000006,      1379310344.827586
SUCCESS,        insertion,    sorted,     16000,            10,    0.000118,  0.000011,  0.000012,  0.000012,      1355932203.389831
SUCCESS,        insertion,    sorted,     32000,            10,    0.000236,  0.000023,  0.000024,  0.000024,      1355932203.389831
SUCCESS,        insertion,    sorted,     64000,            10,    0.000469,  0.000046,  0.000047,  0.000047,      1364605543.710021
SUCCESS,        insertion,  reversed,      1000,            10,    0.019848,  0.001983,  0.001988,  0.001985,          503829.101169
SUCCESS,        insertion,  reversed,      2000,            10,    0.080030,  0.008001,  0.008005,  0.008003,          249906.285143
SUCCESS,        insertion,  reversed,      4000,            10,    0.321399,  0.032138,  0.032147,  0.032140,          124455.894387
SUCCESS,        insertion,  reversed,      8000,            10,    1.288177,  0.128812,  0.128835,  0.128818,           62103.266865
SUCCESS,        insertion,  reversed,     16000,            10,    5.157999,  0.515782,  0.515819,  0.515800,           31019.781121
SUCCESS,        insertion,  reversed,     32000,            10,   20.642129,  2.064175,  2.064278,  2.064213,           15502.276921
SUCCESS,        insertion,  reversed,     64000,            10,   82.589963,  8.258934,  8.259072,  8.258996,            7749.125641
SUCCESS,            merge,    random,      1000,            10,    0.000536,  0.000052,  0.000064,  0.000054,        18656716.417910
SUCCESS,            merge,    random,      2000,            10,    0.001128,  0.000112,  0.000114,  0.000113,        17730496.453901
SUCCESS,            merge,    random,      4000,            10,    0.002438,  0.000243,  0.000245,  0.000244,        16406890.894176
SUCCESS,            merge,    random,      8000,            10,    0.005242,  0.000521,  0.000526,  0.000524,        15261350.629531
SUCCESS,            merge,    random,     16000,            10,    0.011202,  0.001116,  0.001126,  0.001120,        14283163.720764
SUCCESS,            merge,    random,     32000,            10,    0.023838,  0.002378,  0.002390,  0.002384,        13423944.961826
SUCCESS,            merge,    random,     64000,            10,    0.050509,  0.005041,  0.005087,  0.005051,        12671009.127086
SUCCESS,            merge,    random,    128000,            10,    0.107117,  0.010678,  0.010848,  0.010712,        11949550.491519
SUCCESS,            merge,    random,    256000,            10,    0.225852,  0.022530,  0.022852,  0.022585,        11334856.454669
SUCCESS,            merge,    random,    512000,            10,    0.476376,  0.047521,  0.048100,  0.047638,        10747812.652191
SUCCESS,            merge,    random,   1024000,            10,    1.000367,  0.099876,  0.100675,  0.100037,        10236243.298709
SUCCESS,            merge,    random,   2048000,            10,    2.095822,  0.209186,  0.211104,  0.209582,         9771822.225361
SUCCESS,            merge,    random,   4096000,            10,    4.384209,  0.437404,  0.440844,  0.438421,         9342620.299352
SUCCESS,            merge,    random,   8192000,            10,    9.162475,  0.913046,  0.919504,  0.916248,         8940815.663890
SUCCESS,            merge,    random,  16384000,            10,   19.151244,  1.913929,  1.919170,  1.915124,         8555057.833319
SUCCESS,            merge,    random,  32768000,            10,   39.836867,  3.981627,  3.987042,  3.983687,         8225546.451733
SUCCESS,            merge,    sorted,      1000,            10,    0.000126,  0.000012,  0.000015,  0.000013,        79365079.365079
SUCCESS,            merge,    sorted,      2000,            10,    0.000251,  0.000025,  0.000026,  0.000025,        79681274.900398
SUCCESS,            merge,    sorted,      4000,            10,    0.000516,  0.000051,  0.000052,  0.000052,        77519379.844961
SUCCESS,            merge,    sorted,      8000,            10,    0.001074,  0.000106,  0.000108,  0.000107,        74487895.716946
SUCCESS,            merge,    sorted,     16000,            10,    0.002222,  0.000220,  0.000233,  0.000222,        72007200.720072
SUCCESS,            merge,    sorted,     32000,            10,    0.004513,  0.000450,  0.000455,  0.000451,        70906270.773322
SUCCESS,            merge,    sorted,     64000,            10,    0.009582,  0.000957,  0.000961,  0.000958,        66791901.481945
SUCCESS,            merge,    sorted,    128000,            10,    0.019644,  0.001941,  0.001978,  0.001964,        65159845.245368
SUCCESS,            merge,    sorted,    256000,            10,    0.040484,  0.004031,  0.004075,  0.004048,        63234858.215591
SUCCESS,            merge,    sorted,    512000,            10,    0.084057,  0.008377,  0.008431,  0.008406,        60911048.455215
SUCCESS,            merge,    sorted,   1024000,            10,    0.171851,  0.017060,  0.017367,  0.017185,        59586502.260679
SUCCESS,            merge,    sorted,   2048000,            10,    0.351807,  0.035007,  0.035435,  0.035181,        58213736.508938
SUCCESS,            merge,    sorted,   4096000,            10,    0.731244,  0.072960,  0.073346,  0.073124,        56014134.816833
SUCCESS,            merge,    sorted,   8192000,            10,    1.516366,  0.151179,  0.152047,  0.151637,        54023896.605437
SUCCESS,            merge,    sorted,  16384000,            10,    3.162562,  0.314935,  0.317768,  0.316256,        51806098.979245
SUCCESS,            merge,    sorted,  32768000,            10,    6.482768,  0.645719,  0.650374,  0.648277,        50546309.847892
SUCCESS,            merge,  reversed,      1000,            10,    0.000150,  0.000014,  0.000018,  0.000015,        66666666.666667
SUCCESS,            merge,  reversed,      2000,            10,    0.000297,  0.000028,  0.000032,  0.000030,        67340067.340067
SUCCESS,            merge,  reversed,      4000,            10,    0.000580,  0.000056,  0.000069,  0.000058,        68965517.241379
SUCCESS,            merge,  reversed,      8000,            10,    0.001164,  0.000116,  0.000117,  0.000116,        68728522.336770
SUCCESS,            merge,  reversed,     16000,            10,    0.002405,  0.000240,  0.000242,  0.000240,        66528066.528067
SUCCESS,            merge,  reversed,     32000,            10,    0.004950,  0.000494,  0.000496,  0.000495,        64646464.646465
SUCCESS,            merge,  reversed,     64000,            10,    0.010147,  0.001013,  0.001018,  0.001015,        63072829.407707
SUCCESS,            merge,  reversed,    128000,            10,    0.021011,  0.002099,  0.002104,  0.002101,        60920470.229880
SUCCESS,            merge,  reversed,    256000,            10,    0.043669,  0.004359,  0.004371,  0.004367,        58622821.681284
SUCCESS,            merge,  reversed,    512000,            10,    0.090722,  0.009062,  0.009113,  0.009072,        56436145.587619
SUCCESS,            merge,  reversed,   1024000,            10,    0.187760,  0.018767,  0.018785,  0.018776,        54537707.711973
SUCCESS,            merge,  reversed,   2048000,            10,    0.388828,  0.038870,  0.038913,  0.038883,        52671103.932844
SUCCESS,            merge,  reversed,   4096000,            10,    0.810392,  0.080987,  0.081113,  0.081039,        50543440.705239
SUCCESS,            merge,  reversed,   8192000,            10,    1.678803,  0.167812,  0.167945,  0.167880,        48796672.390983
SUCCESS,            merge,  reversed,  16384000,            10,    3.500918,  0.349821,  0.350546,  0.350092,        46799153.821940
SUCCESS,            merge,  reversed,  32768000,            10,    7.378262,  0.735134,  0.739634,  0.737826,        44411542.989392
SUCCESS,   merge_parallel,    random,      1000,            10,    0.000521,  0.000051,  0.000054,  0.000052,        19193857.965451
SUCCESS,   merge_parallel,    random,      2000,            10,    0.001124,  0.000112,  0.000113,  0.000112,        17793594.306050
SUCCESS,   merge_parallel,    random,      4000,            10,    0.002432,  0.000242,  0.000245,  0.000243,        16447368.421053
SUCCESS,   merge_parallel,    random,      8000,            10,    0.005233,  0.000521,  0.000531,  0.000523,        15287597.936174
SUCCESS,   merge_parallel,    random,     16000,            10,    0.011173,  0.001114,  0.001121,  0.001117,        14320236.283899
SUCCESS,   merge_parallel,    random,     32000,            10,    0.023798,  0.002376,  0.002384,  0.002380,        13446508.109925
SUCCESS,   merge_parallel,    random,     64000,            10,    0.050355,  0.005029,  0.005045,  0.005036,        12709760.699037
SUCCESS,   merge_parallel,    random,    128000,            10,    0.106766,  0.010657,  0.010724,  0.010677,        11988835.397037
SUCCESS,   merge_parallel,    random,    256000,            10,    0.225590,  0.022515,  0.022622,  0.022559,        11348020.745600
SUCCESS,   merge_parallel,    random,    512000,            10,    0.475256,  0.047446,  0.047685,  0.047526,        10773141.212315
SUCCESS,   merge_parallel,    random,   1024000,            10,    0.999316,  0.099825,  0.100080,  0.099932,        10247008.954125
SUCCESS,   merge_parallel,    random,   2048000,            10,    2.092317,  0.209006,  0.209422,  0.209232,         9788191.751059
SUCCESS,   merge_parallel,    random,   4096000,            10,    4.374931,  0.437202,  0.438097,  0.437493,         9362433.373235
