 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,        insertion,    random,      1000,            10,    0.009614,  0.000904,  0.001107,  0.000961,         1040149.781569
SUCCESS,        insertion,    random,      2000,            10,    0.037296,  0.003448,  0.004046,  0.003730,          536250.536251
SUCCESS,        insertion,    random,      4000,            10,    0.139032,  0.013361,  0.015082,  0.013903,          287703.550262
SUCCESS,        insertion,    random,      8000,            10,    0.548616,  0.053480,  0.058921,  0.054862,          145821.485338
SUCCESS,        insertion,    random,     16000,            10,    2.167701,  0.214695,  0.219733,  0.216770,           73810.917650
SUCCESS,        insertion,    random,     32000,            10,    8.656005,  0.859867,  0.870977,  0.865600,           36968.555356
SUCCESS,        insertion,    random,     64000,            10,   35.002573,  3.435158,  3.672954,  3.500257,           18284.370123
SUCCESS,        insertion,    sorted,      1000,            10,    0.000016,  0.000001,  0.000002,  0.000002,       625000000.000000
SUCCESS,        insertion,    sorted,      2000,            10,    0.000029,  0.000002,  0.000004,  0.000003,       689655172.413793
SUCCESS,        insertion,    sorted,      4000,            10,    0.000056,  0.000004,  0.000009,  0.000006,       714285714.285714
SUCCESS,        insertion,    sorted,      8000,            10,    0.000138,  0.000008,  0.000040,  0.000014,       579710144.927536
SUCCESS,        insertion,    sorted,     16000,            10,    0.000243,  0.000016,  0.000046,  0.000024,       658436213.991769
SUCCESS,        insertion,    sorted,     32000,            10,    0.000358,  0.000032,  0.000069,  0.000036,       893854748.603352
SUCCESS,        insertion,    sorted,     64000,            10,    0.000643,  0.000064,  0.000067,  0.000064,       995334370.139969
SUCCESS,        insertion,  reversed,      1000,            10,    0.017588,  0.001659,  0.002059,  0.001759,          568569.479190
SUCCESS,        insertion,  reversed,      2000,            10,    0.070085,  0.006662,  0.007532,  0.007008,          285367.767711
SUCCESS,        insertion,  reversed,      4000,            10,    0.270459,  0.026746,  0.028601,  0.027046,          147896.723718
SUCCESS,        insertion,  reversed,      8000,            10,    1.075650,  0.107123,  0.109783,  0.107565,           74373.634547
SUCCESS,        insertion,  reversed,     16000,            10,    4.303737,  0.429408,  0.432966,  0.430374,           37176.992925
SUCCESS,        insertion,  reversed,     32000,            10,   17.257661,  1.722159,  1.728823,  1.725766,           18542.489622
SUCCESS,        insertion,  reversed,     64000,            10,   69.720411,  6.902043,  7.219555,  6.972041,            9179.521331
SUCCESS,            merge,    random,      1000,            10,    0.000732,  0.000067,  0.000100,  0.000073,        13661202.185792
SUCCESS,            merge,    random,      2000,            10,    0.001536,  0.000146,  0.000199,  0.000154,        13020833.333333
SUCCESS,            merge,    random,      4000,            10,    0.003295,  0.000318,  0.000370,  0.000330,        12139605.462822
SUCCESS,            merge,    random,      8000,            10,    0.007131,  0.000685,  0.000820,  0.000713,        11218622.914037
SUCCESS,            merge,    random,     16000,            10,    0.015482,  0.001463,  0.001829,  0.001548,        10334582.095337
SUCCESS,            merge,    random,     32000,            10,    0.034001,  0.003170,  0.003798,  0.003400,         9411487.897415
SUCCESS,            merge,    random,     64000,            10,    0.071539,  0.006728,  0.007649,  0.007154,         8946169.222382
SUCCESS,            merge,    random,    128000,            10,    0.145287,  0.014152,  0.015712,  0.014529,         8810148.189446
SUCCESS,            merge,    random,    256000,            10,    0.303409,  0.029822,  0.032886,  0.030341,         8437455.711597
SUCCESS,            merge,    random,    512000,            10,    0.639135,  0.063197,  0.067431,  0.063914,         8010827.133548
SUCCESS,            merge,    random,   1024000,            10,    1.345781,  0.133158,  0.140232,  0.134578,         7608964.608655
SUCCESS,            merge,    random,   2048000,            10,    2.822533,  0.280551,  0.289727,  0.282253,         7255893.908061
